id,titulo_producto,marca,precio_actual,porcentaje_descuento,precio_antiguo,url_imagen,url_producto
25,Mallas técnicas para mujer,CRIVIT,5.49,31,7.96,https://www.lidl.es/assets/gcpd0d9633a4a2d4b648abb67b573ad542b.jpg,https://www.lidl.es/p/crivit-mallas-tecnicas-para-mujer/p100387928#searchTrackingMasterId=Product.100387928&searchTrackingTitle=Mallas%2Bt%25C3%25A9cnicas%2Bpara%2Bmujer&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100387928&searchTrackingOrigPos=1&searchTrackingPos=25&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
26,Vestido premamá,esmara®,7.99,20,9.99,https://www.lidl.es/assets/gcp4246fc628ee14f55bb8641fc3ede66cd.jpg,https://www.lidl.es/p/esmara-vestido-premama/p100388378#searchTrackingMasterId=Product.100388378&searchTrackingTitle=Vestido%2Bpremam%25C3%25A1&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100388378&searchTrackingOrigPos=1&searchTrackingPos=26&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
27,Cubrevitrocerámicas de vidrio,LIVARNO home,4.49,18,5.48,https://www.lidl.es/assets/gcp6c5d316857fe4ea29e67e41700993aee.jpg,https://www.lidl.es/p/livarno-home-cubrevitroceramicas-de-vidrio/p100389324#searchTrackingMasterId=Product.100389324&searchTrackingTitle=Cubrevitrocer%25C3%25A1micas%2Bde%2Bvidrio&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100389324&searchTrackingOrigPos=1&searchTrackingPos=27&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
28,Chaqueta técnica para mujer,CRIVIT,8.99,18,10.96,https://www.lidl.es/assets/gcp400161e749b048e19486544771641597.jpg,https://www.lidl.es/p/crivit-chaqueta-tecnica-para-mujer/p100389588#searchTrackingMasterId=Product.100389588&searchTrackingTitle=Chaqueta%2Bt%25C3%25A9cnica%2Bpara%2Bmujer&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100389588&searchTrackingOrigPos=1&searchTrackingPos=28&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
29,Vestido de verano para mujer,esmara®,5.49,21,6.95,https://www.lidl.es/assets/gcp5f63e0f5645646a1b32d972578b476ec.jpg,https://www.lidl.es/p/esmara-vestido-de-verano-para-mujer/p100389884#searchTrackingMasterId=Product.100389884&searchTrackingTitle=Vestido%2Bde%2Bverano%2Bpara%2Bmujer&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100389884&searchTrackingOrigPos=1&searchTrackingPos=29&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
30,Vestido de efecto cruzado para mujer azul,esmara®,7.99,20,9.99,https://www.lidl.es/assets/gcp72b6d6e73698482f8e54d2bd0c73b5e3.jpg,https://www.lidl.es/p/esmara-vestido-de-efecto-cruzado-para-mujer-azul/p100390246#searchTrackingMasterId=Product.100390246&searchTrackingTitle=Vestido%2Bde%2Befecto%2Bcruzado%2Bpara%2Bmujer%2Bazul&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100390246&searchTrackingOrigPos=1&searchTrackingPos=30&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
31,Falda midi para mujer,esmara®,6.49,18,7.91,https://www.lidl.es/assets/gcpaad57b6df19e4dafb7f81f74f59cd578.jpg,https://www.lidl.es/p/esmara-falda-midi-para-mujer/p100390252#searchTrackingMasterId=Product.100390252&searchTrackingTitle=Falda%2Bmidi%2Bpara%2Bmujer&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100390252&searchTrackingOrigPos=1&searchTrackingPos=31&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
32,Vestido para mujer,esmara®,5.49,15,6.46,https://www.lidl.es/assets/gcpfde0078826f04e92b8cd8e1ceef95775.png,https://www.lidl.es/p/esmara-vestido-para-mujer/p100390502#searchTrackingMasterId=Product.100390502&searchTrackingTitle=Vestido%2Bpara%2Bmujer&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100390502&searchTrackingOrigPos=1&searchTrackingPos=32&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
33,Bermudas cargo para hombre,esmara Men,7.99,20,9.99,https://www.lidl.es/assets/gcp273882f4ce9846d6bec22333feccfed5.jpg,https://www.lidl.es/p/esmara-men-bermudas-cargo-para-hombre/p100390557#searchTrackingMasterId=Product.100390557&searchTrackingTitle=Bermudas%2Bcargo%2Bpara%2Bhombre&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100390557&searchTrackingOrigPos=1&searchTrackingPos=33&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
34,Camisa oversize para mujer,esmara®,5.49,21,6.95,https://www.lidl.es/assets/gcpe8913fd0d22745d8be7afff0fb55a89e.jpg,https://www.lidl.es/p/esmara-camisa-oversize-para-mujer/p100391103#searchTrackingMasterId=Product.100391103&searchTrackingTitle=Camisa%2Boversize%2Bpara%2Bmujer&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100391103&searchTrackingOrigPos=1&searchTrackingPos=34&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
