titulo_producto,marca,precio_actual,porcentaje_descuento,precio_antiguo,url_imagen,url_producto,motivo_descartado,texto_crudo_tarjeta
Tognana Vajilla de porcelana de 18 piezas,Tognana,32.99,23,42.84,https://www.lidl.es/assets/gcp594ebfed74964059879fb67eb2d0832c.jpg,https://www.lidl.es/p/tognana-vajilla-de-porcelana-de-18-piezas/p100390221#searchTrackingMasterId=Product.100390221&searchTrackingTitle=Tognana%2BVajilla%2Bde%2Bporcelana%2Bde%2B18%2Bpiezas&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100390221&searchTrackingOrigPos=1&searchTrackingPos=1&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search,,4.2/5 (5) 4.2 de 5 estrellas (5 valoraciones totales) Tognana Tognana Vajilla de porcelana de 18 piezas antes: 42.99 -23% 32.99*
Safety 1st Barrera a presión Quick Close+,Safety 1st,22.99,14,26.73,https://www.lidl.es/assets/gcp90c1838e517b453bb3b5e353c4e609ea.jpeg,https://www.lidl.es/p/safety-1st-barrera-a-presion-quick-close/p100370310#searchTrackingMasterId=Product.100370310&searchTrackingTitle=Safety%2B1st%2BBarrera%2Ba%2Bpresi%25C3%25B3n%2BQuick%2BClose%252B&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100370310&searchTrackingOrigPos=1&searchTrackingPos=2&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search,,4.1/5 (88) 4.1 de 5 estrellas (88 valoraciones totales) Safety 1st Safety 1st Barrera a presión Quick Close+ antes: 26.99 -14% 22.99*
Hot Wheels Vehículos pack 5,Hot Wheels,5.99,47,11.30,https://www.lidl.es/assets/gcp1ec15fc2c1e244579311290f342570a8.jpg,https://www.lidl.es/p/hot-wheels-vehiculos-pack-5/p100381791#searchTrackingMasterId=Product.100381791&searchTrackingTitle=Hot%2BWheels%2BVeh%25C3%25ADculos%2Bpack%2B5&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100381791&searchTrackingOrigPos=1&searchTrackingPos=3&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search,,4.5/5 (2) 4.5 de 5 estrellas (2 valoraciones totales) Hot Wheels Hot Wheels Vehículos pack 5 PVPR: 11.50 -47% 5.99*
Pijama corto para hombre,esmara Men,4.99,16,5.94,https://www.lidl.es/assets/gcpb244a3d6b0d3486ca449153637179e4c.jpg,https://www.lidl.es/p/esmara-men-pijama-corto-para-hombre/p100390396#searchTrackingMasterId=Product.100390396&searchTrackingTitle=Pijama%2Bcorto%2Bpara%2Bhombre&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100390396&searchTrackingOrigPos=1&searchTrackingPos=4&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search,,4.7/5 (37) 4.7 de 5 estrellas (37 valoraciones totales) esmara Men Pijama corto para hombre antes: 5.99 -16% 4.99*
Philips Plancha de vapor 2000 W,PHILIPS,14.99,25,19.99,https://www.lidl.es/assets/gcp8c1f6ec3facf4dbbbcc9285ceac5dc28.jpg,https://www.lidl.es/p/philips-plancha-de-vapor-2000-w/p100361680#searchTrackingMasterId=Product.100361680&searchTrackingTitle=Philips%2BPlancha%2Bde%2Bvapor%2B2000%2BW&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100361680&searchTrackingOrigPos=1&searchTrackingPos=5&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search,,4.1/5 (95) 4.1 de 5 estrellas (95 valoraciones totales) PHILIPS Philips Plancha de vapor 2000 W PVPR: 19.99 -25% 14.99*
Tabla de equilibrio/ Pelota de gimnasia/ Set de bandas de fitness (tabla de equilibrio),CRIVIT,3.49,50,6.98,https://www.lidl.es/assets/gcp35605554d2774b27a52e993fa5d84104.jpg,https://www.lidl.es/p/crivit-tabla-de-equilibrio-pelota-de-gimnasia-set-de-bandas-de-fitness/p100384052001#searchTrackingMasterId=Product.100384052001&searchTrackingTitle=CRIVIT%2BTabla%2Bde%2Bequilibrio%252F%2BPelota%2Bde%2Bgimnasia%252F%2BSet%2Bde%2Bbandas%2Bde%2Bfitness%2B%2528tabla%2Bde%2Bequilibrio%2529&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100384052001&searchTrackingOrigPos=1&searchTrackingPos=6&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search,,4.6/5 (21) 4.6 de 5 estrellas (21 valoraciones totales) CRIVIT Tabla de equilibrio/ Pelota de gimnasia/ Set de bandas de fitness (tabla de equilibrio) antes: 6.99 -50% 3.49*
Calcetines deportivos,CRIVIT,2.49,16,2.96,https://www.lidl.es/assets/gcp10acd032a83745a082ebfef039659635.jpg,https://www.lidl.es/p/crivit-calcetines-deportivos/p100389504#searchTrackingMasterId=Product.100389504&searchTrackingTitle=Calcetines%2Bdeportivos&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100389504&searchTrackingOrigPos=1&searchTrackingPos=7&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search,,4.5/5 (13) 4.5 de 5 estrellas (13 valoraciones totales) CRIVIT Calcetines deportivos antes: 2.99 -16% 2.49*
Bloque de papel / cartulina de colores,crelando®,2.39,20,2.99,https://www.lidl.es/assets/gcpc24ba53ae3f8482f87b7ecef86ec3fd8.jpg,https://www.lidl.es/p/crelando-bloque-de-papel-cartulina-de-colores/p100389764#searchTrackingMasterId=Product.100389764&searchTrackingTitle=Bloque%2Bde%2Bpapel%2B%252F%2Bcartulina%2Bde%2Bcolores&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100389764&searchTrackingOrigPos=1&searchTrackingPos=8&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search,,5/5 (3) 5 de 5 estrellas (3 valoraciones totales) crelando® Bloque de papel / cartulina de colores antes: 2.99 -20% 2.39*
Tognana Vajilla de porcelana de 18 piezas,Tognana,32.99,23,42.84,https://www.lidl.es/assets/gcp594ebfed74964059879fb67eb2d0832c.jpg,https://www.lidl.es/p/tognana-vajilla-de-porcelana-de-18-piezas/p100390221#searchTrackingMasterId=Product.100390221&searchTrackingTitle=Tognana%2BVajilla%2Bde%2Bporcelana%2Bde%2B18%2Bpiezas&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100390221&searchTrackingOrigPos=1&searchTrackingPos=1&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search,duplicado,4.2/5 (5) 4.2 de 5 estrellas (5 valoraciones totales) Tognana Tognana Vajilla de porcelana de 18 piezas antes: 42.99 -23% 32.99*
Safety 1st Barrera a presión Quick Close+,Safety 1st,22.99,14,26.73,https://www.lidl.es/assets/gcp90c1838e517b453bb3b5e353c4e609ea.jpeg,https://www.lidl.es/p/safety-1st-barrera-a-presion-quick-close/p100370310#searchTrackingMasterId=Product.100370310&searchTrackingTitle=Safety%2B1st%2BBarrera%2Ba%2Bpresi%25C3%25B3n%2BQuick%2BClose%252B&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100370310&searchTrackingOrigPos=1&searchTrackingPos=2&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search,duplicado,4.1/5 (88) 4.1 de 5 estrellas (88 valoraciones totales) Safety 1st Safety 1st Barrera a presión Quick Close+ antes: 26.99 -14% 22.99*
