id,titulo_producto,precio_actual,porcentaje_descuento,precio_antiguo,url_imagen,url_producto
81,LIVARNO home Ropa de cama 150 x 220 cm (Flor verde),10.99,,,https://www.lidl.es/assets/gcp170ea8533d514ef9aa719175399877c1.jpg,https://www.lidl.es/p/livarno-home-ropa-de-cama-150-x-220-cm/p100402512001#searchTrackingMasterId=Product.100402512001&searchTrackingTitle=LIVARNO%2Bhome%2BRopa%2Bde%2Bcama%2B150%2Bx%2B220%2Bcm%2B%2528Flor%2Bverde%2529&searchTrackingPageSize=48&searchTrackingPage=19&searchTrackingEvent=click&searchTrackingId=Product.100402512001&searchTrackingOrigPos=1&searchTrackingPos=910&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
82,LIVARNO home Ropa de cama 150 x 220 cm (Flor verde),10.99,,,,
83,Ropa de cama 150 x 220 cm (Flor verde),,,,,
84,MÁS BARATO,10.99,,,,
85,LIVARNO home Ropa de cama 260 x 220 cm,19.99,16,23.80,https://www.lidl.es/assets/gcp7c01b2340b2a4d2c8631ae7b858f4a2f.jpg,https://www.lidl.es/p/livarno-home-ropa-de-cama-260-x-220-cm/p100402541#searchTrackingMasterId=Product.100402541&searchTrackingTitle=Ropa%2Bde%2Bcama%2B260%2Bx%2B220%2Bcm&searchTrackingPageSize=48&searchTrackingPage=19&searchTrackingEvent=click&searchTrackingId=Product.100402541&searchTrackingOrigPos=1&searchTrackingPos=911&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
86,LIVARNO home Ropa de cama 260 x 220 cm,19.99,16,23.80,,
87,Ropa de cama 260 x 220 cm,,,,,
88,esmara® Pantalón corto para mujer,3.49,12,3.97,https://www.lidl.es/assets/gcp3f092d7873564661ab8ee5c5c0194bb6.jpg,https://www.lidl.es/p/esmara-pantalon-corto-para-mujer/p100402551#searchTrackingMasterId=Product.100402551&searchTrackingTitle=Pantal%25C3%25B3n%2Bcorto%2Bpara%2Bmujer&searchTrackingPageSize=48&searchTrackingPage=19&searchTrackingEvent=click&searchTrackingId=Product.100402551&searchTrackingOrigPos=1&searchTrackingPos=912&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
89,esmara® Pantalón corto para mujer,3.49,12,3.97,,
90,Pantalón corto para mujer,,,,,
91,LIVARNO home Ropa de cama 240 x 220 cm,3.19,14,3.71,https://www.lidl.es/assets/gcp7306a3e32619476082165b3930ef495d.jpg,https://www.lidl.es/p/livarno-home-ropa-de-cama-240-x-220-cm/p100402590#searchTrackingMasterId=Product.100402590&searchTrackingTitle=Ropa%2Bde%2Bcama%2B240%2Bx%2B220%2Bcm&searchTrackingPageSize=48&searchTrackingPage=20&searchTrackingEvent=click&searchTrackingId=Product.100402590&searchTrackingOrigPos=1&searchTrackingPos=913&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
92,LIVARNO home Ropa de cama 240 x 220 cm,11.99,14,13.94,https://www.lidl.es/assets/gcp7306a3e32619476082165b3930ef495d.jpg,https://www.lidl.es/p/livarno-home-ropa-de-cama-240-x-220-cm/p100402590#searchTrackingMasterId=Product.100402590&searchTrackingTitle=Ropa%2Bde%2Bcama%2B240%2Bx%2B220%2Bcm&searchTrackingPageSize=48&searchTrackingPage=20&searchTrackingEvent=click&searchTrackingId=Product.100402590&searchTrackingOrigPos=1&searchTrackingPos=913&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
93,LIVARNO home Ropa de cama 240 x 220 cm,11.99,14,13.94,,
94,Libro de conocimientos,3.19,20,3.99,https://www.lidl.es/assets/gcpc5a3397c628044259c7e2c0b9c09f05d.jpg,https://www.lidl.es/p/libro-de-conocimientos/p100402595#searchTrackingMasterId=Product.100402595&searchTrackingTitle=Libro%2Bde%2Bconocimientos&searchTrackingPageSize=48&searchTrackingPage=20&searchTrackingEvent=click&searchTrackingId=Product.100402595&searchTrackingOrigPos=1&searchTrackingPos=914&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
95,Libro de conocimientos,3.19,20,3.99,,
96,Libro de conocimientos,,,,,
97,sensiplast® Bolsa de frío y calor reutilizable (1 unidad),3.99,20,4.99,https://www.lidl.es/assets/gcp4a9f8421415a431a81672fbd506d6aca.jpg,https://www.lidl.es/p/sensiplast-bolsa-de-frio-y-calor-reutilizable/p100402656001#searchTrackingMasterId=Product.100402656001&searchTrackingTitle=sensiplast%25C2%25AE%2BBolsa%2Bde%2Bfr%25C3%25ADo%2By%2Bcalor%2Breutilizable%2B%25281%2Bunidad%2529&searchTrackingPageSize=48&searchTrackingPage=20&searchTrackingEvent=click&searchTrackingId=Product.100402656001&searchTrackingOrigPos=1&searchTrackingPos=915&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
98,sensiplast® Bolsa de frío y calor reutilizable (1 unidad),3.99,20,4.99,,
99,Bolsa de frío y calor reutilizable (1 unidad),,,,,
100,LIVARNO home Ropa de cama 150 x 220 cm,7.99,20,9.99,https://www.lidl.es/assets/gcpcd9f0f46c5f040cb9a4f3c66166e5235.jpg,https://www.lidl.es/p/livarno-home-ropa-de-cama-150-x-220-cm/p100402673#searchTrackingMasterId=Product.100402673&searchTrackingTitle=Ropa%2Bde%2Bcama%2B150%2Bx%2B220%2Bcm&searchTrackingPageSize=48&searchTrackingPage=20&searchTrackingEvent=click&searchTrackingId=Product.100402673&searchTrackingOrigPos=1&searchTrackingPos=916&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
101,LIVARNO home Ropa de cama 150 x 220 cm,7.99,20,9.99,,
102,Ropa de cama 150 x 220 cm,,,,,
103,esmara® Camisa de manga larga,8.99,18,10.96,https://www.lidl.es/assets/gcp9781a645deba48f99cf747b7651cea5f.jpg,https://www.lidl.es/p/esmara-camisa-de-manga-larga/p100402674#searchTrackingMasterId=Product.100402674&searchTrackingTitle=Camisa%2Bde%2Bmanga%2Blarga&searchTrackingPageSize=48&searchTrackingPage=20&searchTrackingEvent=click&searchTrackingId=Product.100402674&searchTrackingOrigPos=1&searchTrackingPos=917&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
104,esmara® Camisa de manga larga,8.99,18,10.96,,
105,Camisa de manga larga,,,,,
106,LIVARNO home Ropa de cama de muselina 240 x 220 cm,31.99,20,39.99,https://www.lidl.es/assets/gcp85eff380c7a0455f820732bba87dba80.jpg,https://www.lidl.es/p/livarno-home-ropa-de-cama-de-muselina-240-x-220-cm/p100402696#searchTrackingMasterId=Product.100402696&searchTrackingTitle=Ropa%2Bde%2Bcama%2Bde%2Bmuselina%2B240%2Bx%2B220%2Bcm&searchTrackingPageSize=48&searchTrackingPage=20&searchTrackingEvent=click&searchTrackingId=Product.100402696&searchTrackingOrigPos=1&searchTrackingPos=918&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
