id,titulo_producto,precio_actual,porcentaje_descuento,precio_antiguo,url_imagen,url_producto
44,Safety 1st Trona de madera para bebé,4.80,14,5.58,https://www.lidl.es/assets/gcp71de6ca0fc9d4e7eb0c8a2183b54efc3.jpeg,https://www.lidl.es/p/safety-1st-trona-de-madera-para-bebe/p100378351#searchTrackingMasterId=Product.100378351&searchTrackingTitle=Safety%2B1st%2BTrona%2Bde%2Bmadera%2Bpara%2Bbeb%25C3%25A9&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100378351&searchTrackingOrigPos=1&searchTrackingPos=48&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
45,Safety 1st Trona de madera para bebé,4.80,14,5.58,,
46,Safety 1st Trona de madera para bebé,,,,,
47,a partir de,59.99,14,69.76,,
48,3/5 3 de 5 estrellas (2 valoraciones totales),3.49,18,4.26,https://www.lidl.es/assets/gcpeabe804148ef47a082f0e38006ce883e.jpg,https://www.lidl.es/p/livarno-lampara-led-de-techo/p100397843#searchTrackingMasterId=Product.100397843&searchTrackingTitle=L%25C3%25A1mpara%2BLED%2Bde%2Btecho&searchTrackingPageSize=48&searchTrackingPage=19&searchTrackingEvent=click&searchTrackingId=Product.100397843&searchTrackingOrigPos=1&searchTrackingPos=865&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
49,3/5 3 de 5 estrellas (2 valoraciones totales),8.99,18,10.96,https://www.lidl.es/assets/gcpeabe804148ef47a082f0e38006ce883e.jpg,https://www.lidl.es/p/livarno-lampara-led-de-techo/p100397843#searchTrackingMasterId=Product.100397843&searchTrackingTitle=L%25C3%25A1mpara%2BLED%2Bde%2Btecho&searchTrackingPageSize=48&searchTrackingPage=19&searchTrackingEvent=click&searchTrackingId=Product.100397843&searchTrackingOrigPos=1&searchTrackingPos=865&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
50,3/5 3 de 5 estrellas (2 valoraciones totales),8.99,18,10.96,,
51,3/5 3 de 5 estrellas (2 valoraciones totales),,,,,
52,BOSCH Bosh Picador de Carne Serie 6,4.40,11,4.94,https://www.lidl.es/assets/gcpd9ba3ddbc3774c8e93c60a4e3bbb761e.jpg,https://www.lidl.es/p/bosch-bosh-picador-de-carne-serie-6/p100397912#searchTrackingMasterId=Product.100397912&searchTrackingTitle=Bosh%2BPicador%2Bde%2BCarne%2BSerie%2B6&searchTrackingPageSize=48&searchTrackingPage=19&searchTrackingEvent=click&searchTrackingId=Product.100397912&searchTrackingOrigPos=1&searchTrackingPos=866&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
53,BOSCH Bosh Picador de Carne Serie 6,4.40,11,4.94,,
54,Bosh Picador de Carne Serie 6,,,,,
55,lupilu® Mini futbolín de madera (billar),4.60,20,5.75,https://www.lidl.es/assets/gcp575a7b6695104f719845c853b41b353a.jpg,https://www.lidl.es/p/lupilu-mini-futbolin-de-madera/p100397940003#searchTrackingMasterId=Product.100397940003&searchTrackingTitle=lupilu%25C2%25AE%2BMini%2Bfutbol%25C3%25ADn%2Bde%2Bmadera%2B%2528billar%2529&searchTrackingPageSize=48&searchTrackingPage=19&searchTrackingEvent=click&searchTrackingId=Product.100397940003&searchTrackingOrigPos=1&searchTrackingPos=867&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
56,lupilu® Mini futbolín de madera (billar),4.60,20,5.75,,
