id,titulo_producto,marca,precio_actual,porcentaje_descuento,precio_antiguo,url_imagen,url_producto
21,Lámpara led de trabajo,PARKSIDE PERFORMANCE®,49.99,,,https://www.lidl.es/assets/gcp04c3b1b23aaf48f5b93be8d547f306a9.jpg,https://www.lidl.es/p/parkside-performance-lampara-led-de-trabajo/p100402425#searchTrackingMasterId=Product.100402425&searchTrackingTitle=L%25C3%25A1mpara%2Bled%2Bde%2Btrabajo&searchTrackingPageSize=48&searchTrackingPage=19&searchTrackingEvent=click&searchTrackingId=Product.100402425&searchTrackingOrigPos=1&searchTrackingPos=909&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
22,Ropa de cama 150 x 220 cm,LIVARNO home,15.99,15,18.81,https://www.lidl.es/assets/gcp4c749f03324248a4bdbceb37756dbb53.jpg,https://www.lidl.es/p/livarno-home-ropa-de-cama-150-x-220-cm/p100402462#searchTrackingMasterId=Product.100402462&searchTrackingTitle=Ropa%2Bde%2Bcama%2B150%2Bx%2B220%2Bcm&searchTrackingPageSize=48&searchTrackingPage=19&searchTrackingEvent=click&searchTrackingId=Product.100402462&searchTrackingOrigPos=1&searchTrackingPos=910&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
23,Ropa de cama 240 x 220 cm,LIVARNO home,17.99,,,https://www.lidl.es/assets/gcp7306a3e32619476082165b3930ef495d.jpg,https://www.lidl.es/p/livarno-home-ropa-de-cama-240-x-220-cm/p100402472#searchTrackingMasterId=Product.100402472&searchTrackingTitle=Ropa%2Bde%2Bcama%2B240%2Bx%2B220%2Bcm&searchTrackingPageSize=48&searchTrackingPage=19&searchTrackingEvent=click&searchTrackingId=Product.100402472&searchTrackingOrigPos=1&searchTrackingPos=911&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
24,Ropa de cama 150 x 220 cm (Flor verde),LIVARNO home,10.99,,,https://www.lidl.es/assets/gcp170ea8533d514ef9aa719175399877c1.jpg,https://www.lidl.es/p/livarno-home-ropa-de-cama-150-x-220-cm/p100402512001#searchTrackingMasterId=Product.100402512001&searchTrackingTitle=LIVARNO%2Bhome%2BRopa%2Bde%2Bcama%2B150%2Bx%2B220%2Bcm%2B%2528Flor%2Bverde%2529&searchTrackingPageSize=48&searchTrackingPage=19&searchTrackingEvent=click&searchTrackingId=Product.100402512001&searchTrackingOrigPos=1&searchTrackingPos=912&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
25,Ropa de cama 260 x 220 cm,LIVARNO home,19.99,16,23.80,https://www.lidl.es/assets/gcp7c01b2340b2a4d2c8631ae7b858f4a2f.jpg,https://www.lidl.es/p/livarno-home-ropa-de-cama-260-x-220-cm/p100402541#searchTrackingMasterId=Product.100402541&searchTrackingTitle=Ropa%2Bde%2Bcama%2B260%2Bx%2B220%2Bcm&searchTrackingPageSize=48&searchTrackingPage=20&searchTrackingEvent=click&searchTrackingId=Product.100402541&searchTrackingOrigPos=1&searchTrackingPos=913&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
26,Pantalón corto para mujer,esmara®,3.49,12,3.97,https://www.lidl.es/assets/gcp3f092d7873564661ab8ee5c5c0194bb6.jpg,https://www.lidl.es/p/esmara-pantalon-corto-para-mujer/p100402551#searchTrackingMasterId=Product.100402551&searchTrackingTitle=Pantal%25C3%25B3n%2Bcorto%2Bpara%2Bmujer&searchTrackingPageSize=48&searchTrackingPage=20&searchTrackingEvent=click&searchTrackingId=Product.100402551&searchTrackingOrigPos=1&searchTrackingPos=914&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
27,Ropa de cama 240 x 220 cm,LIVARNO home,11.99,14,13.94,https://www.lidl.es/assets/gcp7306a3e32619476082165b3930ef495d.jpg,https://www.lidl.es/p/livarno-home-ropa-de-cama-240-x-220-cm/p100402590#searchTrackingMasterId=Product.100402590&searchTrackingTitle=Ropa%2Bde%2Bcama%2B240%2Bx%2B220%2Bcm&searchTrackingPageSize=48&searchTrackingPage=20&searchTrackingEvent=click&searchTrackingId=Product.100402590&searchTrackingOrigPos=1&searchTrackingPos=915&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
28,Libro de conocimientos,,3.19,20,3.99,https://www.lidl.es/assets/gcpc5a3397c628044259c7e2c0b9c09f05d.jpg,https://www.lidl.es/p/libro-de-conocimientos/p100402595#searchTrackingMasterId=Product.100402595&searchTrackingTitle=Libro%2Bde%2Bconocimientos&searchTrackingPageSize=48&searchTrackingPage=20&searchTrackingEvent=click&searchTrackingId=Product.100402595&searchTrackingOrigPos=1&searchTrackingPos=916&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
29,Bolsa de frío y calor reutilizable (1 unidad),sensiplast®,3.99,20,4.99,https://www.lidl.es/assets/gcp4a9f8421415a431a81672fbd506d6aca.jpg,https://www.lidl.es/p/sensiplast-bolsa-de-frio-y-calor-reutilizable/p100402656001#searchTrackingMasterId=Product.100402656001&searchTrackingTitle=sensiplast%25C2%25AE%2BBolsa%2Bde%2Bfr%25C3%25ADo%2By%2Bcalor%2Breutilizable%2B%25281%2Bunidad%2529&searchTrackingPageSize=48&searchTrackingPage=20&searchTrackingEvent=click&searchTrackingId=Product.100402656001&searchTrackingOrigPos=1&searchTrackingPos=917&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
30,Ropa de cama 150 x 220 cm,LIVARNO home,7.99,20,9.99,https://www.lidl.es/assets/gcpcd9f0f46c5f040cb9a4f3c66166e5235.jpg,https://www.lidl.es/p/livarno-home-ropa-de-cama-150-x-220-cm/p100402673#searchTrackingMasterId=Product.100402673&searchTrackingTitle=Ropa%2Bde%2Bcama%2B150%2Bx%2B220%2Bcm&searchTrackingPageSize=48&searchTrackingPage=20&searchTrackingEvent=click&searchTrackingId=Product.100402673&searchTrackingOrigPos=1&searchTrackingPos=918&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
31,Camisa de manga larga,esmara®,8.99,18,10.96,https://www.lidl.es/assets/gcp9781a645deba48f99cf747b7651cea5f.jpg,https://www.lidl.es/p/esmara-camisa-de-manga-larga/p100402674#searchTrackingMasterId=Product.100402674&searchTrackingTitle=Camisa%2Bde%2Bmanga%2Blarga&searchTrackingPageSize=48&searchTrackingPage=20&searchTrackingEvent=click&searchTrackingId=Product.100402674&searchTrackingOrigPos=1&searchTrackingPos=919&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
32,Ropa de cama de muselina 240 x 220 cm,LIVARNO home,31.99,20,39.99,https://www.lidl.es/assets/gcp85eff380c7a0455f820732bba87dba80.jpg,https://www.lidl.es/p/livarno-home-ropa-de-cama-de-muselina-240-x-220-cm/p100402696#searchTrackingMasterId=Product.100402696&searchTrackingTitle=Ropa%2Bde%2Bcama%2Bde%2Bmuselina%2B240%2Bx%2B220%2Bcm&searchTrackingPageSize=48&searchTrackingPage=20&searchTrackingEvent=click&searchTrackingId=Product.100402696&searchTrackingOrigPos=1&searchTrackingPos=920&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
