id,titulo_producto,marca,precio_actual,porcentaje_descuento,precio_antiguo,url_imagen,url_producto
600,esmara® Jeggings para mujer,esmara®,6.99,12,7.99,https://www.lidl.es/assets/gcp222845093c144b22a6edf281876b7b6b.jpg,https://www.lidl.es/p/esmara-jeggings-para-mujer/p100398945
601,LIVARNO® Lámpara decorativa infantil 10 LED,LIVARNO®,5.49,21,6.99,https://www.lidl.es/assets/gcpf57e1d3f99894160a57fde5309349dfe.jpg,https://www.lidl.es/p/livarno-lampara-decorativa-infantil-10-led/p100399338
602,Ecovacs Robot aspirador GOAT O800 RTK,ECOVACS,899.99,9,999.00,https://www.lidl.es/assets/gcp52a7a01e0668419d9685aa0f4a55e329.jpg,https://www.lidl.es/p/ecovacs-robot-aspirador-goat-o800-rtk/p100400268
603,Lexibook Ordenador portátil de juguete Princesas Disney,LEXIBOOK,27.99,37,34.99,https://www.lidl.es/assets/gcp7b2c9d8e52c948d7b9fd4f81a2b03675.jpg,https://www.lidl.es/p/lexibook-ordenador-portatil-de-juguete-princesas-disney/p100401913
604,Vtech cochecitos corredores Disney,vtech,10.99,21,13.99,https://www.lidl.es/assets/gcpaaaf1888e31a480cadd272c209c61aaa.jpg,https://www.lidl.es/p/vtech-cochecitos-corredores-disney/p100402486
605,Vileda® Cepillo y recogedor,Vileda,4.99,41,8.49,https://www.lidl.es/assets/gcpa64e2ce4e23847f0874138406bd6cc83.jpg,https://www.lidl.es/p/vileda-cepillo-y-recogedor/p100403657
606,SILVERCREST® Recipiente para baño maría / Tamizador de harina (Recipiente para baño maría),SILVERCREST®,2.99,25,3.99,https://www.lidl.es/assets/gcp94faa3bb58b34ae1b0900403b191aa13.jpg,https://www.lidl.es/p/silvercrest-recipiente-para-bano-maria-tamizador-de-harina/p100393991001
607,SILVERCREST® Set de cuencos premium para salsas,SILVERCREST®,2.99,25,3.99,https://www.lidl.es/assets/gcp7760f006fae048c59d6d93f5e516321d.jpg,https://www.lidl.es/p/silvercrest-set-de-cuencos-premium-para-salsas/p100395463
608,SILVERCREST® Recipiente hermético,SILVERCREST®,2.49,16,2.99,https://www.lidl.es/assets/gcp3691fa3b2c6f41f3acad14a59ae09355.jpg,https://www.lidl.es/p/silvercrest-recipiente-hermetico/p100397228
609,lupilu® Camisetas interiores sin mangas infantiles pack 2,lupilu®,2.49,16,2.99,https://www.lidl.es/assets/gcp7d42e9ce1323485c9cc8ac4ec23b33cf.jpg,https://www.lidl.es/p/lupilu-camisetas-interiores-sin-mangas-infantiles-pack-2/p100398229
610,LIVARNO home Salvamanteles,LIVARNO home,2.99,25,3.99,https://www.lidl.es/assets/gcp9480a5066b9042de82977d98f67267f7.jpg,https://www.lidl.es/p/livarno-home-salvamanteles/p100401876
611,"CRIVIT Pantalón corto técnico para mujer (rosa, L (46/48))",CRIVIT,2.99,25,3.99,https://www.lidl.es/assets/gcpe2caec7e017b4a34882617985bde0927.jpg,https://www.lidl.es/p/crivit-pantalon-corto-tecnico-para-mujer/p100402406009
612,LIVARNO home Posavasos,LIVARNO home,1.49,25,1.99,https://www.lidl.es/assets/gcp398c71f7f067498494db950f596df992.jpg,https://www.lidl.es/p/livarno-home-posavasos/p100402851
613,esmara® Medias por encima de las rodillas,esmara®,2.99,25,3.99,https://www.lidl.es/assets/gcpb646aff66a2b4856b9b88cc7c5f63b62.jpg,https://www.lidl.es/p/esmara-medias-por-encima-de-las-rodillas/p100402917
614,LIVARNO home Utensillos de cocina,LIVARNO home,1.29,18,1.59,https://www.lidl.es/assets/gcpe5c1122ab0834dfcbfa90cc4c48c76c1.jpg,https://www.lidl.es/p/livarno-home-utensillos-de-cocina/p100403467
615,Badabulle Barrera para puerta Safe & Roll,Badabulle,34.99,23,45.90,https://www.lidl.es/assets/gcp3409946033674f359755e4330ba1db3a.jpg,https://www.lidl.es/p/badabulle-barrera-para-puerta-safe-roll/p100392768
616,"LIVARNO home Cinta LED, 5m",LIVARNO home,8.99,10,9.99,https://www.lidl.es/assets/gcp387f0916842d485dbdb6009bc2a0923e.jpg,https://www.lidl.es/p/livarno-home-cinta-led-5m/p100392852
617,LIVARNO home Lámpara led de techo (cuadrado),LIVARNO home,23.99,20,29.99,https://www.lidl.es/assets/gcp2666e72db7a74837b424c51a02822f32.jpg,https://www.lidl.es/p/livarno-home-lampara-led-de-techo/p100392964001
618,SILVERCREST® Báscula digital de cuchara,SILVERCREST®,4.99,16,5.99,https://www.lidl.es/assets/gcp9d70e547c8f24f77a2f663a918e36d24.jpg,https://www.lidl.es/p/silvercrest-bascula-digital-de-cuchara/p100393698
619,TRONIC® Calefactor cerámico (blanco),TRONIC®,9.99,23,12.99,https://www.lidl.es/assets/gcp3a4d49788a274982bca1fab067f12b2a.jpg,https://www.lidl.es/p/tronic-calefactor-ceramico/p100393882001
620,W5 Estantería colgante,W5,7.99,20,9.99,https://www.lidl.es/assets/gcp7b901c017b2c4c6e847d54151a9ef767.jpg,https://www.lidl.es/p/w5-estanteria-colgante/p100393898
621,Joseph Joseph® Organizador para cubiertos y cuchillos,Joseph Joseph,12.99,43,22.99,https://www.lidl.es/assets/gcpcc4c8c7b699d41efbcb3d590076ea008.jpg,https://www.lidl.es/p/joseph-joseph-organizador-para-cubiertos-y-cuchillos/p100394200
